"Portion_code","Portion_description","Start_date","End_date"
0,"NONE",2017-01-01,2018-12-31
10000,"1 cup, Better Cheddars",2017-01-01,2018-12-31
10001,"1 cup, Boston Baked Beans",2017-01-01,2018-12-31
10002,"1 cup, Cheez-its",2017-01-01,2018-12-31
10003,"1 cup, Chiclets",2017-01-01,2018-12-31
10004,"1 cup, Goobers",2017-01-01,2018-12-31
10005,"1 cup, Graham Bites",2017-01-01,2018-12-31
10006,"1 cup, Jimmies",2017-01-01,2018-12-31
10007,"1 cup, Jordan",2017-01-01,2018-12-31
10008,"1 cup, Krunch Twists, crushed",2017-01-01,2018-12-31
10009,"1 cup, Krunch Twists, loose",2017-01-01,2018-12-31
10010,"1 cup, NFS",2017-01-01,2018-12-31
10011,"1 cup, NS as to fresh or frozen",2017-01-01,2018-12-31
10012,"1 cup, NS as to from fresh, frozen, or canned",2017-01-01,2018-12-31
10013,"1 cup, NS as to variety",2017-01-01,2018-12-31
10014,"1 cup, Ripplin's Potato Snack Chips",2017-01-01,2018-12-31
10015,"1 cup, Squirrel Nuts",2017-01-01,2018-12-31
10016,"1 cup, Teddy Grahams",2017-01-01,2018-12-31
10017,"1 cup, Thin Bits",2017-01-01,2018-12-31
10018,"1 cup, Toll House",2017-01-01,2018-12-31
10019,"1 cup, acorn",2017-01-01,2018-12-31
10020,"1 cup, acorn, cubed",2017-01-01,2018-12-31
10021,"1 cup, balls",2017-01-01,2018-12-31
10022,"1 cup, beef flavor",2017-01-01,2018-12-31
10023,"1 cup, bite size",2017-01-01,2018-12-31
10024,"1 cup, bite size (Nibs)",2017-01-01,2018-12-31
10025,"1 cup, boneless",2017-01-01,2018-12-31
10026,"1 cup, boneless, cooked",2017-01-01,2018-12-31
10027,"1 cup, butternut",2017-01-01,2018-12-31
10028,"1 cup, butternut, cubed",2017-01-01,2018-12-31
10029,"1 cup, canned",2017-01-01,2018-12-31
10030,"1 cup, canned, sliced",2017-01-01,2018-12-31
10031,"1 cup, cherry tomato",2017-01-01,2018-12-31
10032,"1 cup, chicken flavor",2017-01-01,2018-12-31
10033,"1 cup, chicory",2017-01-01,2018-12-31
10034,"1 cup, chocolate covered",2017-01-01,2018-12-31
10035,"1 cup, chocolate-flavored",2017-01-01,2018-12-31
10036,"1 cup, chopped",2017-01-01,2018-12-31
10037,"1 cup, chopped or diced",2017-01-01,2018-12-31
10038,"1 cup, chopped or sliced",2017-01-01,2018-12-31
10039,"1 cup, chunks",2017-01-01,2018-12-31
10040,"1 cup, chunks or flakes",2017-01-01,2018-12-31
10041,"1 cup, coarse grain",2017-01-01,2018-12-31
10042,"1 cup, common",2017-01-01,2018-12-31
10043,"1 cup, cooked",2017-01-01,2018-12-31
10044,"1 cup, cooked (1 packet dry mix, equivalent to 2 eggs, makes 2/5 cup cooked)",2017-01-01,2018-12-31
10045,"1 cup, cooked (1/4 cup raw, equivalent to 1 large egg, makes 1/3 cup cooked)",2017-01-01,2018-12-31
10046,"1 cup, cooked (made from 12 tablespoons of uncooked liquid mixture)",2017-01-01,2018-12-31
10047,"1 cup, cooked (made from 15 tablespoons of uncooked liquid mixture)",2017-01-01,2018-12-31
10048,"1 cup, cooked, cold",2017-01-01,2018-12-31
10049,"1 cup, cooked, diced",2017-01-01,2018-12-31
10050,"1 cup, cooked, diced (yield after skin/coating removed)",2017-01-01,2018-12-31
10051,"1 cup, cooked, flaked",2017-01-01,2018-12-31
10052,"1 cup, cooked, flaked and pieces",2017-01-01,2018-12-31
10053,"1 cup, cooked, hot",2017-01-01,2018-12-31
10054,"1 cup, cooked, pieces",2017-01-01,2018-12-31
10055,"1 cup, cooked, shaved",2017-01-01,2018-12-31
10056,"1 cup, cooked, shredded",2017-01-01,2018-12-31
10057,"1 cup, corn nuts",2017-01-01,2018-12-31
10058,"1 cup, rippled, ruffled or crinkle cut",2017-01-01,2018-12-31
10059,"1 cup, crumbled",2017-01-01,2018-12-31
10060,"1 cup, crumbs",2017-01-01,2018-12-31
10061,"1 cup, crushed",2017-01-01,2018-12-31
10062,"1 cup, crushed, sliced, or chunks",2017-01-01,2018-12-31
10063,"1 cup, cubes",2017-01-01,2018-12-31
10064,"1 cup, cubes, all varieties",2017-01-01,2018-12-31
10065,"1 cup, curls",2017-01-01,2018-12-31
10066,"1 cup, diced",2017-01-01,2018-12-31
10067,"1 cup, diced (approx 20 pieces per cup)",2017-01-01,2018-12-31
10068,"1 cup, diced, cooked",2017-01-01,2018-12-31
10069,"1 cup, drained",2017-01-01,2018-12-31
10070,"1 cup, drained, flaked",2017-01-01,2018-12-31
10071,"1 cup, dry mix, prepared",2017-01-01,2018-12-31
10072,"1 cup, dry type",2017-01-01,2018-12-31
10073,"1 cup, dry, yield after cooking",2017-01-01,2018-12-31
10074,"1 cup, dry, yields",2017-01-01,2018-12-31
10075,"1 cup, endive",2017-01-01,2018-12-31
10076,"1 cup, escarole",2017-01-01,2018-12-31
10077,"1 cup, fine grain",2017-01-01,2018-12-31
