"Food_code","Subcode","Start_date","End_date"
53108200,0,2017-01-01,2018-12-31
53108200,1000230,2017-01-01,2018-12-31
53108200,1000231,2017-01-01,2018-12-31
53108200,1000232,2017-01-01,2018-12-31
53108200,1000233,2017-01-01,2018-12-31
53108200,1000234,2017-01-01,2018-12-31
53108200,1000235,2017-01-01,2018-12-31
53108200,1000236,2017-01-01,2018-12-31
53108200,1000237,2017-01-01,2018-12-31
53108200,1000238,2017-01-01,2018-12-31
53108200,1000239,2017-01-01,2018-12-31
53108200,1000241,2017-01-01,2018-12-31
53108200,1000242,2017-01-01,2018-12-31
53108200,1000243,2017-01-01,2018-12-31
53108200,1000244,2017-01-01,2018-12-31
53108200,1000261,2017-01-01,2018-12-31
53108200,1000276,2017-01-01,2018-12-31
53108200,1000277,2017-01-01,2018-12-31
53108200,1000325,2017-01-01,2018-12-31
53108200,1000329,2017-01-01,2018-12-31
53108200,1000330,2017-01-01,2018-12-31
53108200,1000331,2017-01-01,2018-12-31
53108200,1000332,2017-01-01,2018-12-31
53108200,1000333,2017-01-01,2018-12-31
53108200,1000334,2017-01-01,2018-12-31
53108200,1000335,2017-01-01,2018-12-31
53108200,1000336,2017-01-01,2018-12-31
53108200,1000337,2017-01-01,2018-12-31
53108200,1000338,2017-01-01,2018-12-31
53108200,1000356,2017-01-01,2018-12-31
53109200,0,2017-01-01,2018-12-31
53109200,1000246,2017-01-01,2018-12-31
53109200,1000247,2017-01-01,2018-12-31
53109200,1000250,2017-01-01,2018-12-31
53109200,1000252,2017-01-01,2018-12-31
53109200,1000253,2017-01-01,2018-12-31
53109200,1000254,2017-01-01,2018-12-31
53109200,1000255,2017-01-01,2018-12-31
53109200,1000260,2017-01-01,2018-12-31
53109200,1000302,2017-01-01,2018-12-31
53109200,1000340,2017-01-01,2018-12-31
53109200,1000341,2017-01-01,2018-12-31
53109200,1000342,2017-01-01,2018-12-31
53109200,1000343,2017-01-01,2018-12-31
53109200,1000344,2017-01-01,2018-12-31
53109200,1000345,2017-01-01,2018-12-31
53109200,1000346,2017-01-01,2018-12-31
53109200,1000347,2017-01-01,2018-12-31
53109200,1000348,2017-01-01,2018-12-31
53109200,1000349,2017-01-01,2018-12-31
53109200,1000350,2017-01-01,2018-12-31
