"Food_code","Subcode","Seq_num","Portion_code","Portion_weight","Start_date","End_date"
1.1e+07,0,1,10205,246,2017-01-01,2018-12-31
1.1e+07,0,2,90000,0,2017-01-01,2018-12-31
1.1e+07,0,3,30000,30.8,2017-01-01,2018-12-31
11100000,0,1,10205,244,2017-01-01,2018-12-31
11100000,0,2,30000,30.5,2017-01-01,2018-12-31
11100000,0,3,64294,244,2017-01-01,2018-12-31
11100000,0,4,63480,2.5,2017-01-01,2018-12-31
11100000,0,5,63546,61,2017-01-01,2018-12-31
11100000,0,6,90000,244,2017-01-01,2018-12-31
11111000,0,1,10205,244,2017-01-01,2018-12-31
11111000,0,2,30000,30.5,2017-01-01,2018-12-31
11111000,0,3,64294,244,2017-01-01,2018-12-31
11111000,0,4,63480,2.5,2017-01-01,2018-12-31
11111000,0,5,63546,61,2017-01-01,2018-12-31
11111000,0,6,90000,244,2017-01-01,2018-12-31
11111100,0,1,10205,244,2017-01-01,2018-12-31
11111100,0,2,30000,30.5,2017-01-01,2018-12-31
11111100,0,3,63480,2.5,2017-01-01,2018-12-31
11111100,0,4,63546,61,2017-01-01,2018-12-31
11111100,0,5,90000,244,2017-01-01,2018-12-31
11111150,0,1,10205,244,2017-01-01,2018-12-31
11111150,0,2,30000,30.5,2017-01-01,2018-12-31
11111150,0,3,63480,2.5,2017-01-01,2018-12-31
11111150,0,4,63546,61,2017-01-01,2018-12-31
11111150,0,5,90000,244,2017-01-01,2018-12-31
11111160,0,1,10205,244,2017-01-01,2018-12-31
11111160,0,2,30000,30.5,2017-01-01,2018-12-31
11111160,0,3,63480,2.5,2017-01-01,2018-12-31
11111160,0,4,63546,61,2017-01-01,2018-12-31
11111160,0,5,90000,244,2017-01-01,2018-12-31
11111170,0,1,10205,244,2017-01-01,2018-12-31
11111170,0,2,30000,30.5,2017-01-01,2018-12-31
11111170,0,3,63480,2.5,2017-01-01,2018-12-31
11111170,0,4,63546,61,2017-01-01,2018-12-31
11111170,0,5,90000,244,2017-01-01,2018-12-31
11112110,0,1,10205,244,2017-01-01,2018-12-31
11112110,0,2,30000,30.5,2017-01-01,2018-12-31
11112110,0,3,64294,244,2017-01-01,2018-12-31
11112110,0,4,63480,2.5,2017-01-01,2018-12-31
11112110,0,5,63546,61,2017-01-01,2018-12-31
11112110,0,6,90000,244,2017-01-01,2018-12-31
11112120,0,1,10205,244,2017-01-01,2018-12-31
11112120,0,2,30000,30.5,2017-01-01,2018-12-31
11112120,0,3,63480,2.5,2017-01-01,2018-12-31
11112120,0,4,63546,61,2017-01-01,2018-12-31
11112120,0,5,90000,244,2017-01-01,2018-12-31
11112130,0,1,10205,244,2017-01-01,2018-12-31
11112130,0,2,30000,30.5,2017-01-01,2018-12-31
11112130,0,3,90000,244,2017-01-01,2018-12-31
11112130,0,4,63480,2.5,2017-01-01,2018-12-31
11112130,0,5,63546,61,2017-01-01,2018-12-31
11112210,0,1,10205,244,2017-01-01,2018-12-31
11112210,0,2,30000,30.5,2017-01-01,2018-12-31
11112210,0,3,64294,244,2017-01-01,2018-12-31
11112210,0,4,63480,2.5,2017-01-01,2018-12-31
11112210,0,5,63546,61,2017-01-01,2018-12-31
11112210,0,6,90000,244,2017-01-01,2018-12-31
11113000,0,1,10205,244,2017-01-01,2018-12-31
11113000,0,2,30000,30.5,2017-01-01,2018-12-31
11113000,0,3,64294,244,2017-01-01,2018-12-31
11113000,0,4,63480,2.5,2017-01-01,2018-12-31
11113000,0,5,63546,61,2017-01-01,2018-12-31
11113000,0,6,90000,244,2017-01-01,2018-12-31
11114300,0,1,10205,244,2017-01-01,2018-12-31
11114300,0,2,30000,30.5,2017-01-01,2018-12-31
11114300,0,3,63480,2.5,2017-01-01,2018-12-31
11114300,0,4,63546,61,2017-01-01,2018-12-31
11114300,0,5,90000,244,2017-01-01,2018-12-31
11114320,0,1,10205,244,2017-01-01,2018-12-31
11114320,0,2,30000,30.5,2017-01-01,2018-12-31
11114320,0,3,63480,2.5,2017-01-01,2018-12-31
11114320,0,4,63546,61,2017-01-01,2018-12-31
11114320,0,5,90000,244,2017-01-01,2018-12-31
11114330,0,1,10205,244,2017-01-01,2018-12-31
11114330,0,2,30000,30.5,2017-01-01,2018-12-31
11114330,0,3,63480,2.5,2017-01-01,2018-12-31
11114330,0,4,63546,61,2017-01-01,2018-12-31
11114330,0,5,90000,244,2017-01-01,2018-12-31
11114350,0,1,10205,244,2017-01-01,2018-12-31
11114350,0,2,30000,30.5,2017-01-01,2018-12-31
11114350,0,3,63480,2.5,2017-01-01,2018-12-31
11114350,0,4,63546,61,2017-01-01,2018-12-31
11114350,0,5,90000,244,2017-01-01,2018-12-31
11115000,0,1,10205,244,2017-01-01,2018-12-31
11115000,0,2,30000,30.5,2017-01-01,2018-12-31
11115000,0,3,63480,2.6,2017-01-01,2018-12-31
11115000,0,4,63546,61,2017-01-01,2018-12-31
11115000,0,5,90000,244,2017-01-01,2018-12-31
11115100,0,1,10205,244,2017-01-01,2018-12-31
11115100,0,2,30000,30.5,2017-01-01,2018-12-31
11115100,0,3,63480,2.6,2017-01-01,2018-12-31
11115100,0,4,63546,61,2017-01-01,2018-12-31
11115100,0,5,90000,244,2017-01-01,2018-12-31
11115200,0,1,10205,244,2017-01-01,2018-12-31
11115200,0,2,30000,30.5,2017-01-01,2018-12-31
11115200,0,3,63480,2.6,2017-01-01,2018-12-31
11115200,0,4,63546,61,2017-01-01,2018-12-31
11115200,0,5,90000,244,2017-01-01,2018-12-31
11115300,0,1,10205,244,2017-01-01,2018-12-31
11115300,0,2,30000,30.5,2017-01-01,2018-12-31
11115300,0,3,63480,2.6,2017-01-01,2018-12-31
11115300,0,4,63546,61,2017-01-01,2018-12-31
11115300,0,5,90000,244,2017-01-01,2018-12-31
11115400,0,1,10205,244,2017-01-01,2018-12-31
11115400,0,2,30000,30.5,2017-01-01,2018-12-31
11115400,0,3,90000,244,2017-01-01,2018-12-31
11116000,0,1,10205,244,2017-01-01,2018-12-31
11116000,0,2,30000,30.5,2017-01-01,2018-12-31
11116000,0,3,63480,2.5,2017-01-01,2018-12-31
11116000,0,4,63546,61,2017-01-01,2018-12-31
11116000,0,5,90000,244,2017-01-01,2018-12-31
11120000,0,1,10205,244,2017-01-01,2018-12-31
11120000,0,2,30000,30.5,2017-01-01,2018-12-31
11120000,0,3,63480,2.5,2017-01-01,2018-12-31
11120000,0,4,63546,61,2017-01-01,2018-12-31
11120000,0,5,90000,244,2017-01-01,2018-12-31
11121100,0,1,10205,244,2017-01-01,2018-12-31
11121100,0,2,30000,30.5,2017-01-01,2018-12-31
11121100,0,3,63480,2.5,2017-01-01,2018-12-31
11121100,0,4,63546,61,2017-01-01,2018-12-31
11121100,0,5,90000,244,2017-01-01,2018-12-31
11121210,0,1,10205,244,2017-01-01,2018-12-31
11121210,0,2,30000,30.5,2017-01-01,2018-12-31
11121210,0,3,63480,2.5,2017-01-01,2018-12-31
11121210,0,4,63546,61,2017-01-01,2018-12-31
11121210,0,5,90000,244,2017-01-01,2018-12-31
11121300,0,1,10205,244,2017-01-01,2018-12-31
11121300,0,2,30000,30.5,2017-01-01,2018-12-31
11121300,0,3,63480,2.5,2017-01-01,2018-12-31
11121300,0,4,63546,61,2017-01-01,2018-12-31
11121300,0,5,90000,244,2017-01-01,2018-12-31
11210050,0,1,10205,252,2017-01-01,2018-12-31
11210050,0,2,30000,31.5,2017-01-01,2018-12-31
11210050,0,3,90000,16,2017-01-01,2018-12-31
11210050,0,4,63480,2.6,2017-01-01,2018-12-31
11210050,0,5,90002,126,2017-01-01,2018-12-31
11210050,0,6,90005,16,2017-01-01,2018-12-31
11211050,0,1,10205,252,2017-01-01,2018-12-31
11211050,0,2,30000,31.5,2017-01-01,2018-12-31
11211050,0,3,90000,16,2017-01-01,2018-12-31
11211050,0,4,63480,2.6,2017-01-01,2018-12-31
11211050,0,5,90002,126,2017-01-01,2018-12-31
11211050,0,6,90005,16,2017-01-01,2018-12-31
11211400,0,1,10205,252,2017-01-01,2018-12-31
11211400,0,2,30000,31.5,2017-01-01,2018-12-31
11211400,0,6,90005,16,2017-01-01,2018-12-31
11211400,0,7,90002,126,2017-01-01,2018-12-31
11211400,0,8,90000,16,2017-01-01,2018-12-31
11212050,0,1,10205,252,2017-01-01,2018-12-31
11212050,0,2,30000,31.5,2017-01-01,2018-12-31
11212050,0,3,90000,16,2017-01-01,2018-12-31
11212050,0,4,63480,2.6,2017-01-01,2018-12-31
11212050,0,5,90002,126,2017-01-01,2018-12-31
11212050,0,6,90005,16,2017-01-01,2018-12-31
11220000,0,1,10205,304,2017-01-01,2018-12-31
11220000,0,2,30000,38,2017-01-01,2018-12-31
11220000,0,3,90000,19,2017-01-01,2018-12-31
11300100,0,1,10205,244,2017-01-01,2018-12-31
11300100,0,2,30000,30.5,2017-01-01,2018-12-31
11300100,0,3,63480,2.5,2017-01-01,2018-12-31
11300100,0,4,63546,61,2017-01-01,2018-12-31
11300100,0,5,90000,244,2017-01-01,2018-12-31
11320000,0,1,10205,244,2017-01-01,2018-12-31
11320000,0,2,30000,30.5,2017-01-01,2018-12-31
11320000,0,3,63480,2.5,2017-01-01,2018-12-31
11320000,0,4,63546,61,2017-01-01,2018-12-31
11320000,0,5,90000,244,2017-01-01,2018-12-31
11320100,0,1,10205,244,2017-01-01,2018-12-31
11320100,0,2,30000,30.5,2017-01-01,2018-12-31
11320100,0,3,90000,244,2017-01-01,2018-12-31
11320200,0,1,10205,244,2017-01-01,2018-12-31
11320200,0,2,30000,30.5,2017-01-01,2018-12-31
11320200,0,3,90000,244,2017-01-01,2018-12-31
11321000,0,1,10205,244,2017-01-01,2018-12-31
11321000,0,2,30000,30.5,2017-01-01,2018-12-31
11321000,0,3,90000,244,2017-01-01,2018-12-31
11321100,0,1,10205,244,2017-01-01,2018-12-31
11321100,0,2,30000,30.5,2017-01-01,2018-12-31
11321100,0,3,90000,244,2017-01-01,2018-12-31
11321200,0,1,10205,244,2017-01-01,2018-12-31
11321200,0,2,30000,30.5,2017-01-01,2018-12-31
11321200,0,3,90000,244,2017-01-01,2018-12-31
11350000,0,1,10205,244,2017-01-01,2018-12-31
11350000,0,2,30000,30.5,2017-01-01,2018-12-31
11350000,0,3,63480,2.5,2017-01-01,2018-12-31
11350000,0,4,63546,61,2017-01-01,2018-12-31
11350000,0,5,90000,244,2017-01-01,2018-12-31
11350010,0,1,10205,244,2017-01-01,2018-12-31
11350010,0,2,30000,30.5,2017-01-01,2018-12-31
11350010,0,3,63480,2.5,2017-01-01,2018-12-31
11350010,0,4,63546,61,2017-01-01,2018-12-31
11350010,0,5,90000,244,2017-01-01,2018-12-31
11350020,0,1,10205,244,2017-01-01,2018-12-31
11350020,0,2,30000,30.5,2017-01-01,2018-12-31
11350020,0,3,63480,2.5,2017-01-01,2018-12-31
11350020,0,4,63546,61,2017-01-01,2018-12-31
11350020,0,5,90000,244,2017-01-01,2018-12-31
11350030,0,1,10205,244,2017-01-01,2018-12-31
11350030,0,2,30000,30.5,2017-01-01,2018-12-31
11350030,0,3,63480,2.5,2017-01-01,2018-12-31
11350030,0,4,63546,61,2017-01-01,2018-12-31
11350030,0,5,90000,244,2017-01-01,2018-12-31
11360000,0,1,10205,244,2017-01-01,2018-12-31
11360000,0,2,30000,30.5,2017-01-01,2018-12-31
11360000,0,3,63480,2.5,2017-01-01,2018-12-31
11360000,0,4,63546,61,2017-01-01,2018-12-31
11360000,0,5,90000,244,2017-01-01,2018-12-31
11370000,0,1,10205,244,2017-01-01,2018-12-31
11370000,0,2,30000,30.5,2017-01-01,2018-12-31
11370000,0,3,63480,2.5,2017-01-01,2018-12-31
11370000,0,4,63546,61,2017-01-01,2018-12-31
11370000,0,5,90000,244,2017-01-01,2018-12-31
11400000,0,1,64638,113,2017-01-01,2018-12-31
11400000,0,2,60039,170,2017-01-01,2018-12-31
11400000,0,3,60598,170,2017-01-01,2018-12-31
11400000,0,4,10205,245,2017-01-01,2018-12-31
11400000,0,5,90000,170,2017-01-01,2018-12-31
11400010,0,1,64562,150,2017-01-01,2018-12-31
11400010,0,2,60039,170,2017-01-01,2018-12-31
11400010,0,3,60598,150,2017-01-01,2018-12-31
11400010,0,4,10205,245,2017-01-01,2018-12-31
