"Food_code","Moisture_change","Start_date","End_date"
1.1e+07,0,2017-01-01,2018-12-31
11100000,0,2017-01-01,2018-12-31
11111000,0,2017-01-01,2018-12-31
11111100,0,2017-01-01,2018-12-31
11111150,0,2017-01-01,2018-12-31
11111160,0,2017-01-01,2018-12-31
11111170,0,2017-01-01,2018-12-31
11112110,0,2017-01-01,2018-12-31
11112120,0,2017-01-01,2018-12-31
11112130,0,2017-01-01,2018-12-31
11112210,0,2017-01-01,2018-12-31
11113000,0,2017-01-01,2018-12-31
11114300,0,2017-01-01,2018-12-31
11114320,0,2017-01-01,2018-12-31
11114330,0,2017-01-01,2018-12-31
11114350,0,2017-01-01,2018-12-31
11115000,0,2017-01-01,2018-12-31
11115100,0,2017-01-01,2018-12-31
11115200,0,2017-01-01,2018-12-31
11115300,0,2017-01-01,2018-12-31
11115400,0,2017-01-01,2018-12-31
11116000,0,2017-01-01,2018-12-31
11120000,0,2017-01-01,2018-12-31
11121100,0,2017-01-01,2018-12-31
11121210,0,2017-01-01,2018-12-31
11121300,0,2017-01-01,2018-12-31
11210050,0,2017-01-01,2018-12-31
11211050,0,2017-01-01,2018-12-31
11211400,0,2017-01-01,2018-12-31
11212050,0,2017-01-01,2018-12-31
11220000,0,2017-01-01,2018-12-31
11300100,0,2017-01-01,2018-12-31
11320000,0,2017-01-01,2018-12-31
11320100,0,2017-01-01,2018-12-31
11320200,0,2017-01-01,2018-12-31
11321000,0,2017-01-01,2018-12-31
11321100,0,2017-01-01,2018-12-31
11321200,0,2017-01-01,2018-12-31
11350000,0,2017-01-01,2018-12-31
11350010,0,2017-01-01,2018-12-31
11350020,0,2017-01-01,2018-12-31
11350030,0,2017-01-01,2018-12-31
11360000,0,2017-01-01,2018-12-31
11370000,0,2017-01-01,2018-12-31
11400000,0,2017-01-01,2018-12-31
11400010,0,2017-01-01,2018-12-31
11410000,0,2017-01-01,2018-12-31
11411010,0,2017-01-01,2018-12-31
11411100,0,2017-01-01,2018-12-31
11411200,0,2017-01-01,2018-12-31
11411300,0,2017-01-01,2018-12-31
11411390,0,2017-01-01,2018-12-31
11411400,0,2017-01-01,2018-12-31
11411410,0,2017-01-01,2018-12-31
11411420,0,2017-01-01,2018-12-31
11430000,0,2017-01-01,2018-12-31
11431000,0,2017-01-01,2018-12-31
11432000,0,2017-01-01,2018-12-31
11433000,0,2017-01-01,2018-12-31
11433990,0,2017-01-01,2018-12-31
11434000,0,2017-01-01,2018-12-31
11434010,0,2017-01-01,2018-12-31
11434020,0,2017-01-01,2018-12-31
11434090,0,2017-01-01,2018-12-31
11434100,0,2017-01-01,2018-12-31
11434200,0,2017-01-01,2018-12-31
11434300,0,2017-01-01,2018-12-31
11435000,0,2017-01-01,2018-12-31
11435010,0,2017-01-01,2018-12-31
11435020,0,2017-01-01,2018-12-31
11435030,0,2017-01-01,2018-12-31
11435100,0,2017-01-01,2018-12-31
11436000,0,2017-01-01,2018-12-31
11440010,0,2017-01-01,2018-12-31
11440020,0,2017-01-01,2018-12-31
11440030,0,2017-01-01,2018-12-31
11440040,0,2017-01-01,2018-12-31
11440050,0,2017-01-01,2018-12-31
11440060,0,2017-01-01,2018-12-31
11440070,0,2017-01-01,2018-12-31
11446000,0,2017-01-01,2018-12-31
11459990,0,2017-01-01,2018-12-31
11460000,0,2017-01-01,2018-12-31
11460100,0,2017-01-01,2018-12-31
11460500,0,2017-01-01,2018-12-31
11460510,0,2017-01-01,2018-12-31
11461200,0,2017-01-01,2018-12-31
11461210,0,2017-01-01,2018-12-31
11461220,0,2017-01-01,2018-12-31
11461250,0,2017-01-01,2018-12-31
11461260,0,2017-01-01,2018-12-31
11461300,0,2017-01-01,2018-12-31
11461320,0,2017-01-01,2018-12-31
11480010,0,2017-01-01,2018-12-31
11480020,0,2017-01-01,2018-12-31
11480030,0,2017-01-01,2018-12-31
11480040,0,2017-01-01,2018-12-31
11511000,0,2017-01-01,2018-12-31
11511100,0,2017-01-01,2018-12-31
11511200,0,2017-01-01,2018-12-31
11511300,0,2017-01-01,2018-12-31
11511400,0,2017-01-01,2018-12-31
11511550,0,2017-01-01,2018-12-31
11511600,0,2017-01-01,2018-12-31
11511610,0,2017-01-01,2018-12-31
11511700,0,2017-01-01,2018-12-31
11512010,0,2017-01-01,2018-12-31
11512020,0,2017-01-01,2018-12-31
11512030,0,2017-01-01,2018-12-31
11512100,0,2017-01-01,2018-12-31
11512110,0,2017-01-01,2018-12-31
11512120,0,2017-01-01,2018-12-31
11513000,0,2017-01-01,2018-12-31
11513100,0,2017-01-01,2018-12-31
11513150,0,2017-01-01,2018-12-31
11513200,0,2017-01-01,2018-12-31
11513300,0,2017-01-01,2018-12-31
11513310,0,2017-01-01,2018-12-31
11513350,0,2017-01-01,2018-12-31
11513355,0,2017-01-01,2018-12-31
11513360,0,2017-01-01,2018-12-31
11513365,0,2017-01-01,2018-12-31
11513370,0,2017-01-01,2018-12-31
11513375,0,2017-01-01,2018-12-31
11513380,0,2017-01-01,2018-12-31
11513381,0,2017-01-01,2018-12-31
11513382,0,2017-01-01,2018-12-31
11513383,0,2017-01-01,2018-12-31
11513384,0,2017-01-01,2018-12-31
11513385,0,2017-01-01,2018-12-31
11513390,0,2017-01-01,2018-12-31
11513391,0,2017-01-01,2018-12-31
11513392,0,2017-01-01,2018-12-31
11513393,0,2017-01-01,2018-12-31
11513394,0,2017-01-01,2018-12-31
11513395,0,2017-01-01,2018-12-31
11513400,0,2017-01-01,2018-12-31
11513500,0,2017-01-01,2018-12-31
11513550,0,2017-01-01,2018-12-31
11513600,0,2017-01-01,2018-12-31
11513700,0,2017-01-01,2018-12-31
11513750,0,2017-01-01,2018-12-31
11513800,0,2017-01-01,2018-12-31
11513801,0,2017-01-01,2018-12-31
11513802,0,2017-01-01,2018-12-31
11513803,0,2017-01-01,2018-12-31
11513804,0,2017-01-01,2018-12-31
11513805,0,2017-01-01,2018-12-31
11513850,0,2017-01-01,2018-12-31
11513851,0,2017-01-01,2018-12-31
11513852,0,2017-01-01,2018-12-31
11513853,0,2017-01-01,2018-12-31
11513854,0,2017-01-01,2018-12-31
11513855,0,2017-01-01,2018-12-31
11514100,0,2017-01-01,2018-12-31
11514110,0,2017-01-01,2018-12-31
11514120,0,2017-01-01,2018-12-31
11514130,0,2017-01-01,2018-12-31
11514140,0,2017-01-01,2018-12-31
11514150,0,2017-01-01,2018-12-31
11514310,0,2017-01-01,2018-12-31
11514320,0,2017-01-01,2018-12-31
11514330,0,2017-01-01,2018-12-31
11514340,0,2017-01-01,2018-12-31
11514350,0,2017-01-01,2018-12-31
