"Subcode","Subcode_description","Start_date","End_date"
0,"Default Gram Weights",2017-01-01,2018-12-31
1000001,"Jordan almonds",2017-01-01,2018-12-31
1000003,"Tootsie Roll",2017-01-01,2018-12-31
1000004,"Brach's Royal",2017-01-01,2018-12-31
1000006,"Caramel Creams",2017-01-01,2018-12-31
1000007,"Sugar Babies",2017-01-01,2018-12-31
1000008,"Sugar Daddy",2017-01-01,2018-12-31
1000009,"Black Cow",2017-01-01,2018-12-31
1000011,"Caramello",2017-01-01,2018-12-31
1000012,"Chew-Its",2017-01-01,2018-12-31
1000013,"Marathon Bar",2017-01-01,2018-12-31
1000014,"Milk Duds",2017-01-01,2018-12-31
1000015,"Pom Poms",2017-01-01,2018-12-31
1000016,"Sugar Momma",2017-01-01,2018-12-31
1000018,"Goo Goo Cluster(s)",2017-01-01,2018-12-31
1000019,"Peanut Chews",2017-01-01,2018-12-31
1000020,"Toffifay",2017-01-01,2018-12-31
1000021,"Turtles",2017-01-01,2018-12-31
1000023,"Chocolate coins",2017-01-01,2018-12-31
1000024,"Easter Egg, NFS",2017-01-01,2018-12-31
1000025,"Easter Egg, milk chocolate",2017-01-01,2018-12-31
1000026,"Hershey Bar",2017-01-01,2018-12-31
1000027,"Hershey Kiss or Star",2017-01-01,2018-12-31
1000028,"Hershey Symphony Bar",2017-01-01,2018-12-31
1000029,"Nestle Bar",2017-01-01,2018-12-31
1000031,"Krackel Bar",2017-01-01,2018-12-31
1000032,"Malted Milk Balls",2017-01-01,2018-12-31
1000033,"Nestle Crunch",2017-01-01,2018-12-31
1000034,"Whoppers",2017-01-01,2018-12-31
1000038,"Brach's Bridge Mix",2017-01-01,2018-12-31
1000039,"Chunky with pecans",2017-01-01,2018-12-31
1000040,"Hazelnut with chocolate (Cadbury)",2017-01-01,2018-12-31
1000042,"Chunky with fruit and nuts",2017-01-01,2018-12-31
1000043,"Fruit and Nut Bar (Cadbury)",2017-01-01,2018-12-31
1000045,"Hershey with Almonds",2017-01-01,2018-12-31
1000046,"Nestle chocolate bar with almonds",2017-01-01,2018-12-31
1000048,"Chunky with peanuts",2017-01-01,2018-12-31
1000049,"Mr. Goodbar",2017-01-01,2018-12-31
1000051,"Toll House morsels",2017-01-01,2018-12-31
1000053,"Andes Mint Wafers",2017-01-01,2018-12-31
1000055,"Nestle Alpine White with Almonds",2017-01-01,2018-12-31
1000056,"Almond Joy",2017-01-01,2018-12-31
1000057,"Bounty",2017-01-01,2018-12-31
1000059,"Easter egg, chocolate covered coconut",2017-01-01,2018-12-31
1000060,"Mounds",2017-01-01,2018-12-31
1000061,"Bon-bon",2017-01-01,2018-12-31
1000063,"Rainbow coconut",2017-01-01,2018-12-31
1000064,"Mints, NFS",2017-01-01,2018-12-31
1000065,"Candy corn",2017-01-01,2018-12-31
1000067,"Mentos",2017-01-01,2018-12-31
1000068,"Merri-Mints (Delson)",2017-01-01,2018-12-31
1000070,"Butter creams",2017-01-01,2018-12-31
1000071,"Cherries, chocolate covered",2017-01-01,2018-12-31
1000072,"Chocolate Jots",2017-01-01,2018-12-31
1000073,"Easter egg, chocolate covered creme",2017-01-01,2018-12-31
1000074,"Irish Cream Mints",2017-01-01,2018-12-31
1000075,"Mints (Brach's)",2017-01-01,2018-12-31
1000076,"Mint Jots",2017-01-01,2018-12-31
1000077,"Peppermint Pattie",2017-01-01,2018-12-31
1000078,"Thin Mints",2017-01-01,2018-12-31
1000079,"Junior Mints",2017-01-01,2018-12-31
1000081,"Fruit bar",2017-01-01,2018-12-31
1000082,"Fruit Nut Bar",2017-01-01,2018-12-31
1000084,"Fruit Roll-Up",2017-01-01,2018-12-31
1000085,"Fruit Wrinkles",2017-01-01,2018-12-31
1000086,"Fun Fruits",2017-01-01,2018-12-31
1000087,"Teenage Mutant Ninja Turtles Fruit Snacks",2017-01-01,2018-12-31
1000089,"Chocolate Jelly",2017-01-01,2018-12-31
1000090,"Jelly rings, chocolate covered",2017-01-01,2018-12-31
1000092,"Butter Fudge, Mary Sue",2017-01-01,2018-12-31
1000094,"Butternut Bar",2017-01-01,2018-12-31
1000095,"Oh Henry",2017-01-01,2018-12-31
1000096,"Powerhouse",2017-01-01,2018-12-31
1000099,"Chick-o-Stick",2017-01-01,2018-12-31
1000100,"Peanut butter log (Clark)",2017-01-01,2018-12-31
1000101,"Peanut Pillows",2017-01-01,2018-12-31
1000102,"Zagnut",2017-01-01,2018-12-31
1000104,"Clark Bar",2017-01-01,2018-12-31
1000105,"Fifth Avenue",2017-01-01,2018-12-31
1000107,"Jimmies",2017-01-01,2018-12-31
1000109,"Good and Plenty",2017-01-01,2018-12-31
1000110,"Twizzlers",2017-01-01,2018-12-31
1000113,"Marshmallow animal",2017-01-01,2018-12-31
1000114,"Circus Peanuts (Brachs)",2017-01-01,2018-12-31
1000115,"Easter egg, chocolate covered marshmallow",2017-01-01,2018-12-31
1000116,"Mallo Cup",2017-01-01,2018-12-31
1000118,"Marshmallow rabbit, chocolate covered",2017-01-01,2018-12-31
1000120,"Easter egg, candy-coated marshmallow",2017-01-01,2018-12-31
1000122,"Italian nougat candy",2017-01-01,2018-12-31
1000124,"Zero",2017-01-01,2018-12-31
1000126,"Charleston Chew",2017-01-01,2018-12-31
1000127,"Big Hunk",2017-01-01,2018-12-31
1000129,"Payday",2017-01-01,2018-12-31
1000130,"Chocolaty Payday",2017-01-01,2018-12-31
1000131,"Pecan roll",2017-01-01,2018-12-31
1000133,"Goobers",2017-01-01,2018-12-31
1000134,"Peanut Clusters",2017-01-01,2018-12-31
1000136,"Boston Baked Beans",2017-01-01,2018-12-31
1000137,"Squirrel Nuts",2017-01-01,2018-12-31
1000139,"Peanut Munch",2017-01-01,2018-12-31
1000141,"Easter egg, peanut butter, chocolate covered",2017-01-01,2018-12-31
1000142,"Peanut Butter Meltaway Bar (Brach's)",2017-01-01,2018-12-31
1000143,"Peanut Butter Meltaway Crispy Bar (Brach's)",2017-01-01,2018-12-31
1000145,"Raisinets",2017-01-01,2018-12-31
1000146,"Raisin clusters",2017-01-01,2018-12-31
1000148,"Chuckles",2017-01-01,2018-12-31
1000149,"Dots",2017-01-01,2018-12-31
1000150,"Fruit slices, jellied",2017-01-01,2018-12-31
1000151,"Good and Fruity",2017-01-01,2018-12-31
1000152,"Hot tamales",2017-01-01,2018-12-31
1000153,"Jelly beans",2017-01-01,2018-12-31
1000154,"Jujubes",2017-01-01,2018-12-31
1000155,"Jujy Fruits",2017-01-01,2018-12-31
1000156,"Mike and Ike",2017-01-01,2018-12-31
1000157,"Mint Leaves",2017-01-01,2018-12-31
1000159,"Blow-Pop",2017-01-01,2018-12-31
1000160,"Bottle Caps",2017-01-01,2018-12-31
1000161,"Breath mints",2017-01-01,2018-12-31
1000162,"Breath Savers",2017-01-01,2018-12-31
1000163,"Candy Buttons",2017-01-01,2018-12-31
1000164,"Candy cane",2017-01-01,2018-12-31
1000165,"Candy hearts",2017-01-01,2018-12-31
1000166,"Candy necklace",2017-01-01,2018-12-31
1000167,"Certs",2017-01-01,2018-12-31
1000168,"Charm Pop",2017-01-01,2018-12-31
1000169,"Christmas candy",2017-01-01,2018-12-31
1000170,"Cinnamon Hearts",2017-01-01,2018-12-31
1000171,"Conversation hearts",2017-01-01,2018-12-31
1000172,"Cotton candy",2017-01-01,2018-12-31
1000173,"Cough drops",2017-01-01,2018-12-31
1000174,"Funs and Dips",2017-01-01,2018-12-31
1000175,"Gob Stoppers",2017-01-01,2018-12-31
1000176,"Jawbreakers",2017-01-01,2018-12-31
1000177,"Jolly Rancher",2017-01-01,2018-12-31
1000178,"Just Juice",2017-01-01,2018-12-31
1000179,"Life Savers",2017-01-01,2018-12-31
1000180,"Lollipops",2017-01-01,2018-12-31
1000181,"Necco Wafer",2017-01-01,2018-12-31
1000182,"Nerds",2017-01-01,2018-12-31
1000183,"Pixy Stix",2017-01-01,2018-12-31
1000184,"Pop Rocks",2017-01-01,2018-12-31
1000185,"Raspberry-filled drops",2017-01-01,2018-12-31
1000186,"Red Hots",2017-01-01,2018-12-31
1000187,"Red Hot Dollars",2017-01-01,2018-12-31
1000188,"Root beer barrel",2017-01-01,2018-12-31
1000189,"Smarties",2017-01-01,2018-12-31
1000190,"Space Dust",2017-01-01,2018-12-31
1000191,"Spree",2017-01-01,2018-12-31
1000192,"Spun Sugar",2017-01-01,2018-12-31
1000193,"Stick candy",2017-01-01,2018-12-31
1000194,"Sucker",2017-01-01,2018-12-31
1000195,"Sweet Tarts",2017-01-01,2018-12-31
1000196,"Tic Tacs",2017-01-01,2018-12-31
1000197,"Tootsie Pop Drops",2017-01-01,2018-12-31
1000198,"Tootsie Roll Pop",2017-01-01,2018-12-31
1000199,"Candy cigarettes",2017-01-01,2018-12-31
1000201,"Nonpareils",2017-01-01,2018-12-31
1000202,"Oompas",2017-01-01,2018-12-31
1000204,"Bit-O-Honey",2017-01-01,2018-12-31
1000205,"Bonkers!",2017-01-01,2018-12-31
1000206,"Fruit Chews",2017-01-01,2018-12-31
1000207,"Kits",2017-01-01,2018-12-31
1000208,"Mary Jane",2017-01-01,2018-12-31
1000209,"Mighty Bite",2017-01-01,2018-12-31
1000210,"Now and Later",2017-01-01,2018-12-31
1000211,"Peanut Kisses",2017-01-01,2018-12-31
1000212,"Salt water taffy",2017-01-01,2018-12-31
1000213,"Starburst",2017-01-01,2018-12-31
1000214,"Tangy Taffy",2017-01-01,2018-12-31
1000219,"Mint toffee",2017-01-01,2018-12-31
1000221,"Heath Bar",2017-01-01,2018-12-31
1000222,"SKOR",2017-01-01,2018-12-31
1000224,"Almond Roca",2017-01-01,2018-12-31
1000226,"Licorice, dietetic",2017-01-01,2018-12-31
1000229,"Bubble gum, sugared",2017-01-01,2018-12-31
1000230,"Tastykake Chocolate Kandy Kakes",2017-01-01,2018-12-31
1000231,"Tastykake chocolate cupcakes",2017-01-01,2018-12-31
1000232,"Drake's Yodels",2017-01-01,2018-12-31
1000233,"Drake's Yankee Doodles",2017-01-01,2018-12-31
1000234,"Little Debbie Chocolate Devil Squares",2017-01-01,2018-12-31
1000235,"Tastykake Chocolate Kreamies",2017-01-01,2018-12-31
1000236,"Drake's Ring Dings",2017-01-01,2018-12-31
1000237,"Drake's Funny Bones",2017-01-01,2018-12-31
1000238,"Drake's Devil Dogs",2017-01-01,2018-12-31
1000239,"Hostess Chocolate Cupcakes",2017-01-01,2018-12-31
1000241,"Little Debbie Chocolate Dessert Cakes",2017-01-01,2018-12-31
1000242,"Little Debbie Swiss Roll",2017-01-01,2018-12-31
1000243,"Tastykake Junior Chocolate Cakes",2017-01-01,2018-12-31
1000244,"Hostess Suzy Q",2017-01-01,2018-12-31
1000246,"Tastykake white or yellow cupcakes",2017-01-01,2018-12-31
1000247,"Tastykake Krimpets",2017-01-01,2018-12-31
1000250,"Hostess Twinkies",2017-01-01,2018-12-31
1000252,"Hostess Cupcakes, not chocolate",2017-01-01,2018-12-31
1000253,"Little Debbie Zebra Cakes, white or yellow",2017-01-01,2018-12-31
1000254,"Hostess Raspberry or Vanilla Zinger",2017-01-01,2018-12-31
1000255,"Tastykake junior cakes, white, yellow, coconut or coffee flavor",2017-01-01,2018-12-31
1000260,"Petit Fours",2017-01-01,2018-12-31
1000261,"Hostess Chocolate Zinger",2017-01-01,2018-12-31
1000262,"Soda-licious",2017-01-01,2018-12-31
1000263,"Farley's Fruit Snacks",2017-01-01,2018-12-31
1000264,"Gushers Fruit Snacks",2017-01-01,2018-12-31
1000266,"Life Savers Holes",2017-01-01,2018-12-31
1000267,"Hershey Kisses with Almonds",2017-01-01,2018-12-31
1000268,"Sweet 'n Low sugar-free hard candies",2017-01-01,2018-12-31
1000269,"Brach's Rocks",2017-01-01,2018-12-31
1000270,"Heath Sensations",2017-01-01,2018-12-31
1000271,"Starlight Mint",2017-01-01,2018-12-31
1000273,"Hershey's Hugs",2017-01-01,2018-12-31
1000274,"Airheads",2017-01-01,2018-12-31
1000275,"Hershey's Cookies 'n' Mint",2017-01-01,2018-12-31
1000276,"Ho Ho's",2017-01-01,2018-12-31
1000277,"Ding Dongs",2017-01-01,2018-12-31
1000278,"Laffy Taffy",2017-01-01,2018-12-31
1000279,"Fruit By The Foot",2017-01-01,2018-12-31
1000280,"Clark Bun Bar",2017-01-01,2018-12-31
1000281,"Reese's NutRageous",2017-01-01,2018-12-31
1000282,"Pez",2017-01-01,2018-12-31
1000283,"Ring Pop",2017-01-01,2018-12-31
1000284,"Kraft caramels",2017-01-01,2018-12-31
1000285,"Jersey's",2017-01-01,2018-12-31
1000286,"Planters Peanut Butter Chocolates",2017-01-01,2018-12-31
1000287,"Betty Crocker Fruit String Thing",2017-01-01,2018-12-31
1000288,"Dum Dums",2017-01-01,2018-12-31
1000290,"Hershey's Nuggets",2017-01-01,2018-12-31
1000291,"Easter bunnies",2017-01-01,2018-12-31
1000292,"Hershey's Cookies 'n' Mint Nuggets",2017-01-01,2018-12-31
1000293,"Hershey's Nuggets with Almonds",2017-01-01,2018-12-31
1000294,"Sunbelt Fruit Jammers",2017-01-01,2018-12-31
1000295,"Riesen Chocolate Chew",2017-01-01,2018-12-31
1000296,"Runts",2017-01-01,2018-12-31
1000297,"Life Savers Gummi Savers",2017-01-01,2018-12-31
1000298,"Hershey's Cookies 'n' Creme",2017-01-01,2018-12-31
